Sr. No.,Institute Code,Institute Name,Status,Total Intake,Location,Branch,cutoff
1,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,Comp. Engg.,99.9
2,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,Info Tech.,99.82
3,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,Elect. Engg.,99.06
4,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,ETRX & Tel. Comm.,99.64
5,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,ETRX Engg.,99.31
6,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,Mech. Engg.,98.76
7,3012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","Government-Aided, Autonomous",540,Mumbai,Production Engg. (Sandwich),96.1
8,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai","Un-Aided, Autonomous",360,Mumbai,Comp. Engg.,99.72
9,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai","Un-Aided, Autonomous",360,Mumbai,ETRX & Tel. Comm.,98.79
10,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai","Un-Aided, Autonomous",360,Mumbai,Comp. Sci & Engg. (Artificial Intelligence & Machine Learning),99.6
11,3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai","Un-Aided, Autonomous",360,Mumbai,Comp. Sci & Engg. (Data sci.),99.5
12,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,Comp. Engg.,99.32
13,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,Info Tech.,98.72
14,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,ETRX & Tel. Comm.,96.6
15,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,Comp. Sci & Engg. (Data Sci),98.56
16,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,Comp. Sci & Engg. (Internet of things & cyber security) -AI,96.39
17,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,Artificial Intelligence & Machine Learning,98.15
18,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1020,Mumbai,Artificial Intelligence & Data Sci.,98.3
19,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","Un-Aided, Linguistic Minority - Sindhi",540,Mumbai,Comp. Engg.,98.34
20,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","Un-Aided, Linguistic Minority - Sindhi",540,Mumbai,Info Tech.,98.09
21,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","Un-Aided, Linguistic Minority - Sindhi",540,Mumbai,ETRX & Tel. Comm.,95.8
22,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","Un-Aided, Linguistic Minority - Sindhi",540,Mumbai,Artificial Intelligence & Data Sci.,97.35
23,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Linguistic Minority - Sindhi",720,Mumbai,Comp. Engg.,97.85
24,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Linguistic Minority - Sindhi",720,Mumbai,Electronics & Comp. Sci,94.07
25,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Linguistic Minority - Sindhi",720,Mumbai,Artificial Intelligence & Data Sci.,96.33
26,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Linguistic Minority - Sindhi",720,Mumbai,Info Tech.,96.89
27,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Linguistic Minority - Sindhi",720,Mumbai,Electronics & Tel. Comm. Engg.,93.01
28,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Linguistic Minority - Sindhi",720,Mumbai,Automation & Robotics,89.88
